Temp,Pressure (kPa),v,u,h,s,state
900,1800,0.30012,3849.9,4390.11,8.4386,superheated
900,2000,0.27004,3849.33,4389.4,8.3895,superheated
900,2500,0.2159,3847.89,4387.64,8.2853,superheated
900,3000,0.1798,3846.46,4385.87,8.1999,superheated
900,4000,0.13469,3843.59,4382.34,8.0647,superheated
900,5000,0.10762,3840.71,4378.82,7.9593,superheated
900,6000,0.08958,3837.84,4375.29,7.8727,superheated
900,8000,0.06702,3832.08,4368.26,7.735,superheated
900,10000,0.05349,3826.32,4361.24,7.6272,superheated
900,15000,0.03546,3811.89,4343.75,7.4279,superheated
900,20000,0.02645,3797.44,4326.37,7.283,superheated
900,30000,0.017448,3768.48,4291.93,7.0717,superheated
900,40000,0.012963,3739.42,4257.93,6.915,superheated
1000,10,58.75669,4053.01,4640.58,11.0392,superheated
1000,50,11.75097,4052.91,4640.46,10.2964,superheated
1000,100,5.87526,4052.78,4640.31,9.9764,superheated
1000,200,2.9374,4052.53,4640.01,9.6563,superheated
1000,300,1.95812,4052.27,4639.71,9.4689,superheated
1000,400,1.46847,4052.02,4639.41,9.336,superheated
1000,500,1.17469,4051.76,4639.11,9.2328,superheated
1000,600,0.97883,4051.51,4638.81,9.1484,superheated
1000,800,0.73401,4051,4638.2,9.0153,superheated
1000,1000,0.58712,4050.49,4637.6,8.9119,superheated
1000,1200,0.48919,4049.98,4637,8.8274,superheated
1000,1400,0.41924,4049.47,4636.41,8.7558,superheated
1000,1600,0.36678,4048.96,4635.81,8.6938,superheated
1000,1800,0.32598,4048.45,4635.21,8.639,superheated
1000,2000,0.29333,4047.94,4634.61,8.59,superheated
1000,2500,0.23458,4046.67,4633.12,8.486,superheated
1000,3000,0.19541,4045.4,4631.63,8.4009,superheated
1000,4000,0.14645,4042.87,4628.65,8.2661,superheated
1000,5000,0.11707,4040.35,4625.69,8.1612,superheated
1000,6000,0.09749,4037.83,4622.74,8.0751,superheated
1000,8000,0.07301,4032.81,4616.87,7.9384,superheated
1000,10000,0.05832,4027.81,4611.04,7.8315,superheated
1000,15000,0.03875,4015.41,4596.63,7.6347,superheated
1000,20000,0.02897,4003.12,4582.45,7.4925,superheated
1000,30000,0.019196,3978.79,4554.68,7.2867,superheated
1000,40000,0.014324,3954.64,4527.59,7.1356,superheated
1100,10,63.37198,4257.47,4891.19,11.2287,superheated
1100,50,12.67418,4257.37,4891.08,10.4858,superheated
1100,100,6.33696,4257.25,4890.95,10.1658,superheated
1100,200,3.16834,4257.01,4890.68,9.8458,superheated
1100,300,2.11214,4256.77,4890.41,9.6585,superheated
1100,400,1.58404,4256.53,4890.15,9.5255,superheated
1100,500,1.26718,4256.29,4889.88,9.4224,superheated
1100,600,1.05594,4256.05,4889.61,9.3381,superheated
1100,800,0.79188,4255.57,4889.08,9.2049,superheated
1100,1000,0.63345,4255.09,4888.55,9.1016,superheated
1100,1200,0.52783,4254.61,4888.02,9.0171,superheated
1100,1400,0.45239,4254.14,4887.49,8.9456,superheated
1100,1600,0.39581,4253.66,4886.95,8.8837,superheated
1100,1800,0.3518,4253.18,4886.42,8.829,superheated
1100,2000,0.31659,4252.71,4885.89,8.78,superheated
1100,2500,0.25322,4251.52,4884.57,8.6761,superheated
1100,3000,0.21098,4250.33,4883.26,8.5911,superheated
1100,4000,0.15817,4247.96,4880.63,8.4566,superheated
1100,5000,0.12648,4245.61,4878.02,8.3519,superheated
1100,6000,0.10536,4243.26,4875.42,8.2661,superheated
1100,8000,0.07896,4238.6,4870.25,8.1299,superheated
1100,10000,0.06312,4233.97,4865.14,8.0236,superheated
1100,15000,0.042,4222.55,4852.56,7.8282,superheated
1100,20000,0.03145,4211.3,4840.24,7.6874,superheated
1100,30000,0.020903,4189.18,4816.28,7.4845,superheated
1100,40000,0.015643,4167.38,4793.08,7.3364,superheated
1200,10,67.98724,4467.91,5147.78,11.409,superheated
1200,50,13.59737,4467.82,5147.69,10.6662,superheated
1200,100,6.79863,4467.7,5147.56,10.3462,superheated
1200,200,3.39927,4467.46,5147.32,10.0262,superheated
1200,300,2.26614,4467.23,5147.07,9.8389,superheated
1200,400,1.69958,4466.99,5146.83,9.7059,superheated
1200,500,1.35964,4466.76,5146.58,9.6028,superheated
1200,600,1.13302,4466.52,5146.34,9.5185,superheated
1200,800,0.84974,4466.05,5145.85,9.3854,superheated
1200,1000,0.67977,4465.58,5145.36,9.2821,superheated
1200,1200,0.56646,4465.12,5144.87,9.1977,superheated
1200,1400,0.48552,4464.65,5144.38,9.1262,superheated
1200,1600,0.42482,4464.18,5143.89,9.0642,superheated
1200,1800,0.37761,4463.71,5143.4,9.0096,superheated
1200,2000,0.33984,4463.25,5142.92,8.9606,superheated
1200,2500,0.27185,4462.08,5141.7,8.8569,superheated
1200,3000,0.22652,4460.92,5140.49,8.7719,superheated
1200,4000,0.16987,4458.6,5138.07,8.6376,superheated
1200,5000,0.13587,4456.3,5135.67,8.533,superheated
1200,6000,0.11321,4454,5133.28,8.4473,superheated
1200,8000,0.08489,4449.45,5128.54,8.3115,superheated
1200,10000,0.06789,4444.93,5123.84,8.2054,superheated
1200,15000,0.04523,4433.78,5112.27,8.0108,superheated
1200,20000,0.03391,4422.81,5100.96,7.8706,superheated
1200,30000,0.022589,4401.29,5078.97,7.6691,superheated
1200,40000,0.01694,4380.11,5057.72,7.5224,superheated
1300,10,72.6025,4683.68,5409.7,14.581,superheated
1300,50,14.52054,4683.58,5409.61,10.8382,superheated
1300,100,7.2603,4683.47,5409.49,10.5182,superheated
1300,200,3.63018,4683.23,5409.26,10.1982,superheated
1300,300,2.42013,4682.99,5409.03,10.0109,superheated
1300,400,1.81511,4682.75,5408.8,9.878,superheated
1300,500,1.4521,4682.52,5408.57,9.7749,superheated
1300,600,1.21009,4682.28,5408.34,9.6906,superheated
1300,800,0.90758,4681.81,5407.87,9.5575,superheated
1300,1000,0.72608,4681.33,5407.41,9.4542,superheated
1300,1200,0.60507,4680.86,5406.95,9.3698,superheated
1300,1400,0.51864,4680.39,5406.49,9.2983,superheated
1300,1600,0.45382,4679.92,5406.02,9.2364,superheated
1300,1800,0.4034,4679.44,5405.56,9.1817,superheated
1300,2000,0.36306,4678.97,5405.1,9.1328,superheated
1300,2500,0.29046,4677.8,5403.95,9.0291,superheated
